Fluxo de Trabalho;Responsável;Sprint;Tipo de História;Sub-Classificação;Pontuação;Duração estimada;Duração total do impedimento;Motivo do impedimento;Squad;Aberto em;Finalizado em
Ativado - Disponível para uso;Desenvolvedor 27;RELEASE 2;Produto Digital com Software;Evolução Técnica;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;21/03/2025 15:59:16;06/05/2025 09:31:36
Ativado - Disponível para uso;Desenvolvedor 29;;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;24/03/2025 12:41:42;08/04/2025 10:21:48
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 4 RELEASE 1;Produto Digital com Software;Nova funcionalidade;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;24/03/2025 14:14:40;25/03/2025 22:07:25
Ativado - Disponível para uso;Desenvolvedor 22;;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;24/03/2025 15:35:20;26/03/2025 18:10:23
Ativado - Disponível para uso;Desenvolvedor 18;_I1_R1_25;Produto Digital com Software;Evolução Técnica;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;25/03/2025 10:03:39;27/03/2025 10:58:07
Ativado - Disponível para uso;Desenvolvedor 18;_I1_R1_25;Parametrização de Software;Parametrizações;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;25/03/2025 10:21:30;04/04/2025 11:02:40
Ativado - Disponível para uso;Desenvolvedor 18;_I1_R1_25;Parametrização de Software;Parametrizações;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;25/03/2025 10:28:44;31/03/2025 11:03:56
Ativado - Disponível para uso;Desenvolvedor 18;_R2_25;Produto Digital com Software;Nova funcionalidade;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;25/03/2025 10:31:28;14/05/2025 16:15:39
Ativado - Disponível para uso;Desenvolvedor 6; - Sprint 1_R2_2025;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;25/03/2025 15:00:09;15/04/2025 11:18:07
Ativado - Disponível para uso;Desenvolvedor 10;A - Sprint 1 R2 2025;Produto Digital com Software;Nova funcionalidade;13;Até 2 semanas - 10 dias úteis (P);489365;Falta de informações/Erros de definição;Squad 6;25/03/2025 15:22:34;05/05/2025 17:20:45
